2891.TW,中信金,19.90,-0.05,-0.25%,214452
2324.TW,仁寶,193409,21043,38.45,0.10
2324.TW.TW,仁寶,+0.26%,103769,91686,12083
1301.TW,臺塑,90.00,3.10,+3.57%,123943
2382.TW,廣達,112694,11249,55.20,-0.50
2382.TW.TW,廣達,-0.90%,102622,92077,10545
2603.TW,長榮,24.75,-0.05,-0.20%,76844
1440.TW,南紡,66343,10501,21.25,-0.45
1440.TW.TW,南紡,-2.07%,96927,87228,9699
2311.TW,日月光,26.00,0.10,+0.39%,136598
2330.TW,台積電,128325,8273,62.30,0.30
2330.TW.TW,台積電,+0.48%,199407,192176,7231
1326.TW,臺化,88.80,2.50,+2.90%,78347
6116.TW,彩晶,71644,6703,6.15,-0.01
6116.TW.TW,彩晶,-0.16%,61419,56097,5322
1314.TW,中石化,26.75,-0.05,-0.19%,87909
1102.TW,亞泥,82674,5235,32.25,0.05
1102.TW.TW,亞泥,+0.16%,30924,26041,4883
3045.TW,台灣大,67.30,0.50,+0.75%,39170
1303.TW,南亞,34465,4705,70.00,0.90
1303.TW.TW,南亞,+1.30%,68309,63659,4650
2838.TW,聯邦銀,8.90,0.00,0.00%,7050
1907.TW,永豐餘,2931,4119,15.75,0.25
1907.TW.TW,永豐餘,+1.61%,41161,37081,4080
2854.TW,寶來證,16.35,0.00,0.00%,59049
9904.TW,寶成,55007,4042,29.05,0.25
9904.TW.TW,寶成,+0.87%,42518,38478,4040
911610.TW,聯環,19.05,1.20,+6.72%,11892
2504.TW,國產,7926,3966,16.35,0.25
2504.TW.TW,國產,+1.55%,42111,38230,3881
2474.TW,可成,82.10,-0.40,-0.48%,40424
3519.TW,綠能,36678,3746,90.30,-0.70
3519.TW.TW,綠能,-0.77%,24042,20341,3701
1902.TW,臺紙,20.05,1.05,+5.53%,45450
1704.TW,榮化,41972,3478,64.80,1.70
1704.TW.TW,榮化,+2.69%,32154,28787,3367
1313.TW,聯成,24.20,0.00,0.00%,60916
2353.TW,宏,58002,2914,87.70,0.60
2353.TW.TW,宏,+0.69%,90319,87488,2831
2448.TW,晶電,98.60,-1.20,-1.20%,38799
1909.TW,榮成,36121,2678,13.40,0.65
1909.TW.TW,榮成,+5.10%,43245,40624,2621
4904.TW,遠傳,44.35,-0.05,-0.11%,22173
1402.TW,遠東新,19576,2597,46.90,1.30
1402.TW.TW,遠東新,+2.85%,108854,106521,2333
1802.TW,台玻,38.10,0.75,+2.01%,30842
3231.TW,緯創,28557,2285,60.10,-0.90
3231.TW.TW,緯創,-1.48%,57568,55538,2030
2892.TW,第一金,20.55,0.10,+0.49%,69142
1304.TW,臺聚,67133,2009,27.55,0.30
1304.TW.TW,臺聚,+1.10%,39456,37458,1998
1459.TW,聯發,16.45,0.00,0.00%,18687
2329.TW,華泰,16714,1973,7.91,0.22
2329.TW.TW,華泰,+2.86%,7504,5584,1920
2884.TW,玉山金,16.00,0.05,+0.31%,44571
1444.TW,力麗,42670,1901,18.65,0.15
1444.TW.TW,力麗,+0.81%,74489,72601,1888
3481.TW,奇美電,41.80,0.05,+0.12%,68846
1229.TW,聯華,66992,1854,23.85,0.75
1229.TW.TW,聯華,+3.25%,46139,44368,1771
2345.TW,智邦,22.95,-0.25,-1.08%,36578
1718.TW,中纖,34816,1762,14.95,0.05
1718.TW.TW,中纖,+0.34%,87714,86064,1650
2890.TW,永豐金,11.55,-0.10,-0.86%,60070
1737.TW,臺鹽,58433,1637,25.15,-0.20
1737.TW.TW,臺鹽,-0.79%,8189,6636,1553
1513.TW,中興電,18.20,-0.15,-0.82%,6697
2101.TW,南港,5196,1501,44.45,0.20
2101.TW.TW,南港,+0.45%,13011,11621,1390
2347.TW,聯強,74.60,1.40,+1.91%,38760
5388.TW,中磊,37397,1363,28.70,-0.75
5388.TW.TW,中磊,-2.55%,14451,13094,1357
3034.TW,聯詠,90.60,-0.60,-0.66%,17434
1460.TW,宏遠,16210,1224,7.79,-0.01
1460.TW.TW,宏遠,-0.13%,9232,8117,1115
